"","StationCode","Latitude","Longitude"
"290","SMCR8_346",34.23613,-117.49604
"291","SMCR8_351",33.97295,-117.51806
"292","SMCR8_361",33.96825,-117.44789
"293","SMCR8_362",34.23904,-117.49896
"294","SMCR8_370",34.10015,-117.02393
"295","SMCR8_375",33.75657,-116.70164
"296","SMCR8_398",34.13646,-117.18965
"297","SMCR8_419",33.74266,-116.71364
"298","SMCR8_446",34.18543,-117.18567
"299","SMCR8_453",33.73882,-116.82834
"300","SMCR8_469",34.1116,-117.14689
"301","SMCR8_474",34.24826,-117.62775
"302","SMCR8_480",33.80402,-118.08385
"303","SMCR8_496",33.68738,-116.68416
"304","SMCR8_504",33.65657,-117.76426
"305","SMCR8_513",33.71777,-116.76274
"306","SMCR8_528",33.87273,-117.71305
"307","SMCR8_530",34.17834,-116.90881
"308","SMCR8_532",33.77896,-117.83864
"309","SMCR8_535",33.73919,-116.72374
"310","SMCR8_543",33.80281,-116.73208
"311","SMCR8_572",34.0772,-117.29323
"312","SMCR8_587",33.72206,-116.80423
"313","SMCR8_600",34.23092,-117.48291
"314","SMCR8_601",34.02789,-117.58527
"315","SMCR8_605",33.73776,-116.72825
"316","SMCR8_613",33.98574,-117.13166
"317","SMCR8_635",33.80349,-116.78271
"318","SMCR8_686",34.16918,-116.89195
"319","SMCR8_688",33.75289,-116.70609
"320","SMCR8_713",34.24908,-117.63127
